"PC1","PC2","PC3","BrainRegion","MouseID","Treatment","Sex","SlideNumber","ID","UniqueID","Foreground.pixels","Density.of.foreground.pixels.in.hull.area","Span.ratio.of.hull..major.minor.axis.","Maximum.span.across.hull","Area","Perimeter","Circularity","Width.of.bounding.rectangle","Height.of.bounding.rectangle","Maximum.radius.from.hull.s.center.of.mass","Max.min.radii.from.hull.s.center.of.mass","Relative.variation..CV..in.radii.from.hull.s.center.of.mass","Mean.radius","Diameter.of.bounding.circle","Maximum.radius.from.circle.s.center.of.mass","Max.min.radii.from.circle.s.center.of.mass","Relative.variation..CV..in.radii.from.circle.s.center.of.mass","Mean.radius.from.circle.s.center.of.mass","X..of.branches","X..of.junctions","X..of.end.point.voxels","X..of.junction.voxels","X..of.slab.voxels","Average.branch.length","X..of.triple.points","X..of.quadruple.points","Maximum.branch.length","Cluster"
0.291649293390361,0.877276491237076,-1.77878074987021,"PVN","AL61","CON","M","s07","0003-1516","PVN_AL61_CON_M_s07_0003-1516",17417,0.7211,2.7792,303.8421,24155,689.7989,0.6379,156,287,160.6042,3.2925,0.2865,122.5502,303.8421,151.921,2.6907,0.2581,122.2658,21,12,6,26,541,0.11,12,0,0.646,"3"
0.295418637957122,0.314570039823336,-1.37531315637758,"PVN","AL61","CON","M","s07","0004-3080","PVN_AL61_CON_M_s07_0004-3080",16508,0.5355,2.3491,303.2689,30826,728.6418,0.7296,140,298,165.6514,2.1647,0.2131,125.4331,303.2689,151.6344,3.8088,0.2337,130.1489,20,10,10,22,640,0.135,10,0,0.405,"3"
0.882993236979866,1.81473099644347,-0.14353660205102,"PVN","AL62","CON","F","s07","0001-0445","PVN_AL62_CON_F_s07_0001-0445",22140,0.5177,3.4985,438.4393,42765,979.2957,0.5604,224,407,254.6813,3.8454,0.2475,192.8489,438.4393,219.2196,3.047,0.157,199.7006,11,5,7,9,525,0.191,5,0,0.775,"2"
-0.439465509328794,-0.0507503973299256,0.303719369588257,"PVN","AL62","CON","F","s07","0002-0540","PVN_AL62_CON_F_s07_0002-0540",13725,0.614,1.5776,229.1244,22355,596.2745,0.7901,198,182,137.7283,2.1638,0.2698,101.8646,229.6954,114.8477,1.3099,0.075,107.8567,12,6,6,10,456,0.152,6,0,0.468,"1"
0.414698303662876,1.09547907848446,-0.536773353814832,"PVN","AL62","CON","F","s07","0003-1064","PVN_AL62_CON_F_s07_0003-1064",12350,0.3961,2.5481,316.223,31176,762.0875,0.6746,233,281,185.942,3.0577,0.2901,138.7471,316.5815,158.2908,2.3021,0.2203,137.2296,15,8,6,18,485,0.135,8,0,0.913,"3"
-0.381533850536555,0.56878339089384,-1.83433296369514,"PVN","AL62","CON","F","s07","0004-1084","PVN_AL62_CON_F_s07_0004-1084",12193,0.703,2.0813,232.4995,17344,554.9069,0.7078,157,205,135.4011,2.4621,0.3055,91.8081,232.4995,116.2497,3.2894,0.248,97.9987,14,6,9,14,369,0.115,5,1,0.278,"1"
0.085458736269688,0.85951886829032,-1.97020807978984,"PVN","AL62","CON","F","s07","0005-1341","PVN_AL62_CON_F_s07_0005-1341",16289,0.6261,2.3128,291.2954,26018,683.3637,0.7001,147,287,151.9137,2.7387,0.2992,110.9335,291.3074,145.6537,3.7743,0.3201,111.7832,16,8,8,18,530,0.14,8,0,0.249,"3"
-1.72130297316191,-0.86477826427543,-0.56076578293235,"PVN","AL62","CON","F","s07","0006-1344","PVN_AL62_CON_F_s07_0006-1344",8122,0.8426,1.2444,133.1353,9639,375.9848,0.8568,130,107,71.6974,1.5256,0.1226,62.5514,137.8805,68.9403,1.4603,0.1116,62.8911,10,5,5,9,208,0.09,5,0,0.177,"1"
-1.19494871559308,-0.397027831115838,-0.939663034118573,"PVN","AL62","CON","F","s07","0007-1629","PVN_AL62_CON_F_s07_0007-1629",10025,0.7958,1.4417,163.6704,12597,434.2837,0.8393,132,150,96.0442,1.8921,0.1968,70.9684,164.4253,82.2126,2.1524,0.1376,75.6091,11,5,7,15,282,0.112,5,0,0.22,"1"
-0.25633314474755,-0.321496762325469,0.134072504532591,"PVN","AL62","CON","F","s07","0008-1888","PVN_AL62_CON_F_s07_0008-1888",22269,0.7206,1.6185,259.4167,30905,668.7707,0.8683,201,229,137.0139,1.6846,0.1734,110.1833,259.5762,129.7881,1.7196,0.1766,110.3302,13,6,8,8,483,0.151,6,0,0.375,"1"
-0.924536787675252,-0.340085713971276,0.499432289697047,"PVN","AL62","CON","F","s07","0009-2305","PVN_AL62_CON_F_s07_0009-2305",20978,0.872,1.4573,214.8697,24058,580.5803,0.8969,214,150,114.2774,1.6006,0.1078,97.0294,215.3472,107.6736,1.8654,0.118,98.5674,7,3,5,5,238,0.135,3,0,0.232,"1"
0.828353136710644,-0.524839404983116,-0.868659436933134,"PVN","AL62","CON","F","s07","0010-3048","PVN_AL62_CON_F_s07_0010-3048",23770,0.5756,2.4349,376.012,41299,881.4109,0.668,153,378,193.8174,2.2069,0.1967,164.1321,376.012,188.006,1.5487,0.1379,165.9024,34,18,14,36,787,0.097,18,0,0.351,"3"
0.206478417285511,-0.626517493630177,-0.117357349342534,"PVN","AL62","CON","F","s07","0011-3020","PVN_AL62_CON_F_s07_0011-3020",18222,0.5024,1.4872,289.3804,36273,728.8143,0.8581,195,249,162.1682,1.9283,0.2098,117.8583,289.3804,144.6902,1.6335,0.1458,123.2835,22,11,11,21,633,0.121,11,0,0.493,"3"
-0.0877576424474237,1.10956156513363,-1.29915918264721,"PVN","AL62","CON","F","s07","0012-3085","PVN_AL62_CON_F_s07_0012-3085",18743,0.7727,2.8889,298.7189,24255,683.3258,0.6528,292,134,154.6656,2.9979,0.2992,114.9121,298.7189,149.3595,2.3096,0.2538,117.7576,11,5,7,11,377,0.14,5,0,0.263,"3"
-0.210924131397686,1.50087730297639,2.14942092680976,"PVN","AL62","CON","F","s07","0013-3205","PVN_AL62_CON_F_s07_0013-3205",11772,0.3618,1.5346,287.8976,32538,717.2023,0.7949,227,209,171.8035,2.2398,0.3013,114.0168,287.8976,143.9488,1.6612,0.1338,125.0645,5,2,4,4,504,0.389,2,0,1.202,"2"
0.0456753083917095,-0.731273556254519,1.19502200584278,"PVN","AL62","CON","F","s07","0014-3983","PVN_AL62_CON_F_s07_0014-3983",14730,0.367,1.4521,271.5971,40131,764.3722,0.8631,197,273,164.3112,1.687,0.1757,131.6597,273.5163,136.7581,1.122,0.0322,131.8987,15,7,9,13,617,0.166,7,0,0.418,"3"
-0.949424999503935,-1.31656149471511,-0.677966169016715,"PVN","AL62","CON","F","s07","0015-4253","PVN_AL62_CON_F_s07_0015-4253",13178,0.7964,1.3697,176.3009,16546,488.3418,0.8719,128,164,91.4435,1.4931,0.1139,78.9075,176.3552,88.1776,1.471,0.1081,79.8341,18,9,9,19,319,0.076,9,0,0.232,"1"
-2.34461291635905,0.578219487043214,-0.661335005042988,"PVN","AL64","CON","F","s07","0001-0618","PVN_AL64_CON_F_s07_0001-0618",6352,0.9042,1.4414,123.7942,7025,319.2835,0.866,99,106,66.5675,1.7042,0.1896,50.2582,123.7942,61.8971,2.2361,0.2428,51.7799,3,1,3,3,112,0.155,1,0,0.181,"1"
